team,elo_rating
Australia,1401.7
India,1218.1
England,1306.7
New Zealand,1184.0
South Africa,1168.8
West Indies,1099.7
Pakistan,1039.7
Sri Lanka,1188.1
Bangladesh,1050.9
Ireland,1240.4
Scotland,1195.1
Netherlands,1221.3
